emp_id,emp_sex,emp_email,emp_salary,emp_bonus,emp_job_id,emp_dept_id,emp_manager,emp_name,emp_date
1,男,liubei@shuguo.com,30000,10000,1,1,,刘备,2000-1-1
2,男,guanyu@shuguo.com,26000,10000,2,1,1,关羽,2000-1-1
3,男,zhangfei@shuguo.com,24000,10000,2,1,1,张飞,2000-1-1
4,男,zhugeliang@shuguo.com,24000,8000,3,2,1,诸葛亮,2006-3-15
5,男,huangzhong@shuguo.com,8000,,4,2,4,黄忠,2008-10-25
6,男,weiyan@shuguo.com,7500,,4,2,4,魏延,2007-4-1
7,女,sunshangxiang@shuguo.com,12000,5000,5,3,1,孙尚香,2002-8-8
8,女,sunyahuan@shuguo.com,6000,,6,3,7,孙丫鬟,2002-8-8
9,男,zhaoyun@shuguo.com,15000,6000,7,4,1,赵云,2005-12-19
10,男,liaohua@shuguo.com,6500,,8,4,9,廖化,2009-2-17
11,男,guanping@shuguo.com,6800,,8,4,9,关平,2011-7-24
12,女,zhaoshi@shuguo.com,6600,,8,4,9,赵氏,2011-11-10
13,男,guanxing@shuguo.com,7000,,8,4,9,关兴,2011-7-30
14,男,zhangbao@shuguo.com,6500,,8,4,9,张苞,2012-5-31
15,男,zhaotong@shuguo.com,6000,,8,4,9,赵统,2012-5-3
16,男,zhoucang@shuguo.com,8000,,8,4,9,周仓,2010-2-20
17,男,madai@shuguo.com,5800,,8,4,9,马岱,2014-9-16
18,男,fazheng@shuguo.com,10000,5000,9,5,2,法正,2017-4-9
19,男,pangtong@shuguo.com,4100,2000,10,5,18,庞统,2017-6-6
20,男,jiangwan@shuguo.com,4000,1500,10,5,18,蒋琬,2018-1-28
21,男,huangquan@shuguo.com,4200,,10,5,18,黄权,2018-3-14
22,男,mizhu@shuguo.com,4300,,10,5,18,糜竺,2018-3-27
23,男,dengzhi@shuguo.com,4000,,10,5,18,邓芝,2018-11-11
24,男,jianyong@shuguo.com,4800,,10,5,18,简雍,2019-5-11
25,男,sunqian@shuguo.com,4700,,10,5,18,孙乾,2018-10-9
